# Engine name: 
# Sat May 25 10:25:08 2019
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.4000    320.0000      0.0000      1.0000    674.1198   3012.6492     17.9199      1.1800      1.1712   1785.2918    251.1147    283.6370      1.4197      1.5934      0.9508 
     2.4000    330.0000      0.0000      1.0000    674.1198   3014.2584     17.9226      1.1802      1.1716   1786.0128    252.1668    284.3775      1.4250      1.5970      0.9511 
     2.4000    340.0000      0.0000      1.0000    674.1198   3015.8094     17.9252      1.1805      1.1719   1786.7105    253.1786    285.0911      1.4300      1.6005      0.9513 
     2.4000    350.0000      0.0000      1.0000    674.1198   3017.3057     17.9277      1.1807      1.1722   1787.3863    254.1536    285.7805      1.4349      1.6038      0.9516 
     2.4000    360.0000      0.0000      1.0000    674.1198   3018.7506     17.9301      1.1809      1.1725   1788.0416    255.0937    286.4466      1.4396      1.6070      0.9518 
     2.4000    370.0000      0.0000      1.0000    674.1198   3020.1474     17.9324      1.1811      1.1728   1788.6774    256.0010    287.0909      1.4441      1.6101      0.9521 
     2.4000    380.0000      0.0000      1.0000    674.1198   3021.4986     17.9347      1.1813      1.1731   1789.2950    256.8775    287.7144      1.4485      1.6131      0.9523 
     2.4000    390.0000      0.0000      1.0000    674.1198   3022.8070     17.9369      1.1816      1.1733   1789.8952    257.7248    288.3183      1.4527      1.6160      0.9525 
     2.4000    400.0000      0.0000      1.0000    674.1198   3024.0748     17.9390      1.1817      1.1736   1790.4790    258.5447    288.9036      1.4568      1.6188      0.9527 
     2.4000    410.0000      0.0000      1.0000    674.1198   3025.3042     17.9410      1.1819      1.1739   1791.0473    259.3391    289.4716      1.4607      1.6216      0.9529 
     2.4000    420.0000      0.0000      1.0000    674.1198   3026.4973     17.9430      1.1821      1.1741   1791.6007    260.1091    290.0232      1.4645      1.6242      0.9531 
     2.4000    430.0000      0.0000      1.0000    674.1198   3027.6558     17.9450      1.1823      1.1744   1792.1402    260.8561    290.5592      1.4682      1.6268      0.9533 
